game_id,round,tossup,team,player,opponent,category,subcategory,answer,buzz_position,value
232,1,1,Chicago A,Matt Jackson,Houston A,History,European History,German university students,91,10
232,1,2,Chicago A,Adam Fine,Houston A,Science,Physics,gravitational lensing,64,10
232,1,3,Houston A,John Broussard,Chicago A,Arts,Painting/Sculpture,Kara Walker,111,10
232,1,4,Chicago A,Matt Jackson,Houston A,History,American History,George Crook,147,10
232,1,5,Chicago A,Matt Jackson,Houston A,Thought,Social Science,communication,110,10
232,1,6,Chicago A,Matt Jackson,Houston A,Beliefs and Other,Mythology,having a strong scent,108,10
232,1,7,Chicago A,Ned Tagtmeier,Houston A,Literature,World Literature,Argentina,83,-5
232,1,7,Houston A,John Broussard,Chicago A,Literature,World Literature,Argentina,166,10
232,1,8,Chicago A,Adam Fine,Houston A,Science,Chemistry,carbon AND oxygen,141,-5
232,1,8,Houston A,John Broussard,Chicago A,Science,Chemistry,carbon AND oxygen,143,0
232,1,9,Chicago A,Matt Jackson,Houston A,Beliefs and Other,Religion,Parsis,67,10
232,1,10,Chicago A,Ned Tagtmeier,Houston A,Literature,European Literature,The School for Wives,147,10
232,1,11,Chicago A,Claire Jones,Houston A,History,Other History,Thessalonica,79,10
232,1,12,Chicago A,Matt Jackson,Houston A,Arts,Other Fine Arts,the Major-General,31,10
232,1,13,Chicago A,Claire Jones,Houston A,History,World History,Angola,108,10
232,1,14,Chicago A,Matt Jackson,Houston A,Thought,Philosophy,Parmenides of Elea,108,10
232,1,15,Chicago A,Matt Jackson,Houston A,Literature,American Literature,Suzan-Lori Parks,107,10
232,1,16,Chicago A,Matt Jackson,Houston A,Arts,Classical Music,Manfred Symphony,154,10
232,1,17,Chicago A,Adam Fine,Houston A,Science,Biology,psoriasis,76,10
232,1,18,Chicago A,Matt Jackson,Houston A,Literature,British Literature,Catherine Morland,141,10
232,1,19,Chicago A,Matt Jackson,Houston A,Beliefs and Other,Geography,Mauritius,115,10
232,1,20,Chicago A,Adam Fine,Houston A,Science,Other Science,cardinal numbers,120,10
233,1,1,Chicago B,Amogh Kulkarni,Virginia A,History,European History,German university students,118,10
233,1,2,Chicago B,Vivek Sasse,Virginia A,Science,Physics,gravitational lensing,112,10
233,1,3,Virginia A,Joseph Chambers,Chicago B,Arts,Painting/Sculpture,Kara Walker,115,10
233,1,4,Chicago B,Amogh Kulkarni,Virginia A,History,American History,George Crook,147,10
233,1,5,Virginia A,Joseph Chambers,Chicago B,Thought,Social Science,communication,107,-5
233,1,5,Chicago B,John Marvin,Virginia A,Thought,Social Science,communication,133,10
233,1,6,Chicago B,Daniel Yang,Virginia A,Beliefs and Other,Mythology,having a strong scent,131,10
233,1,7,Chicago B,Amogh Kulkarni,Virginia A,Literature,World Literature,Argentina,106,10
233,1,8,Virginia A,Joseph Chambers,Chicago B,Science,Chemistry,carbon AND oxygen,120,-5
233,1,8,Chicago B,Vivek Sasse,Virginia A,Science,Chemistry,carbon AND oxygen,143,10
233,1,9,Virginia A,Alana Dickey,Chicago B,Beliefs and Other,Religion,Parsis,79,-5
233,1,9,Chicago B,John Marvin,Virginia A,Beliefs and Other,Religion,Parsis,150,10
233,1,10,Chicago B,Amogh Kulkarni,Virginia A,Literature,European Literature,The School for Wives,92,10
233,1,11,Chicago B,Amogh Kulkarni,Virginia A,History,Other History,Thessalonica,61,10
233,1,12,Chicago B,Daniel Yang,Virginia A,Arts,Other Fine Arts,the Major-General,100,10
233,1,13,Chicago B,Vivek Sasse,Virginia A,History,World History,Angola,100,10
233,1,14,Chicago B,John Marvin,Virginia A,Thought,Philosophy,Parmenides of Elea,67,10
233,1,15,Chicago B,Amogh Kulkarni,Virginia A,Literature,American Literature,Suzan-Lori Parks,136,10
233,1,16,Chicago B,Daniel Yang,Virginia A,Arts,Classical Music,Manfred Symphony,128,-5
233,1,16,Virginia A,Joseph Chambers,Chicago B,Arts,Classical Music,Manfred Symphony,154,0
233,1,17,Virginia A,Alana Dickey,Chicago B,Science,Biology,psoriasis,122,10
233,1,18,Virginia A,David Bass,Chicago B,Literature,British Literature,Catherine Morland,145,0
233,1,18,Chicago B,Amogh Kulkarni,Virginia A,Literature,British Literature,Catherine Morland,145,10
233,1,19,Chicago B,Vivek Sasse,Virginia A,Beliefs and Other,Geography,Mauritius,126,10
233,1,20,Chicago B,John Marvin,Virginia A,Science,Other Science,cardinal numbers,49,10
234,1,1,Claremont A,Dean Ah Now,Stanford A,History,European History,German university students,79,10
234,1,2,Stanford A,Natan Holtzman,Claremont A,Science,Physics,gravitational lensing,113,10
234,1,3,Claremont A,Tanis Nielsen,Stanford A,Arts,Painting/Sculpture,Kara Walker,111,10
234,1,4,Stanford A,Andrew Zeng,Claremont A,History,American History,George Crook,112,10
234,1,5,Claremont A,Kevin Park,Stanford A,Thought,Social Science,communication,107,-5
234,1,5,Stanford A,Tim Morrison,Claremont A,Thought,Social Science,communication,133,10
234,1,6,Stanford A,Natan Holtzman,Claremont A,Beliefs and Other,Mythology,having a strong scent,144,10
